EntryID,LemmaID,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreqZ(native),SignFrequency(N-Native),PercentUnknown(Native),GlossConfirmation,PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),SubtLexUSLog10WF,LexicalClass,Compound,Initialized,FingerspelledLoanSign,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),SignType,MajorLocation,MinorLocation,SelectedFingers,Flexion,Movement,MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,SignTypeFrequency,MajorLocationFrequency,MinorLocationFrequency,SelectedFingersFrequency,FlexionFrequency,MovementFrequency,HandshapeFrequency,,Batch,Item,List,Repeat.1
buy,buy,5.577,1.137,0.797358668,26,0.00%,6.063,0.929,1.038405377,16,0.00%,0,,,3.08,2.009,0.049,25,3.992,Verb,0,0,0,567.23,1601.6,1034.37,2535.87,AsymmetricalDifferentHandshape,Hand,Palm,imrp,4,Curved,665,12,1,178,216,91,455,52,125,30,,D,74,3,0
cabbage,lettuce,4,1.633,-0.389393619,25,0.00%,3.786,1.477,-0.490328241,14,0.00%,0,,,1.074,2.016,-0.873,27,2.173,Noun,0,0,0,400.4,867.53,467.13,1668.34,OneHanded,Head,Eye,imrp,2,BackAndForth,859,35,2,388,300,26,455,76,354,18,,B,73,1,0
cabinet,cabinet,2.9,1.165,-1.206029903,20,16.00%,2.5,0.972,-1.45310923,10,21.43%,1,55.00%,70.00%,3.233,1.948,0.203,30,2.629,Noun,0,0,0,567.23,1134.47,567.23,1935.27,SymmetricalOrAlternating,Neutral,Neutral,imrp,5,BackAndForth,779,85,8,332,349,345,455,108,354,89,,B,30,3,0
cafeteria,cafeteria,4.519,1.968,0.357522997,27,0.00%,4.538,1.898,0.353298915,13,0.00%,0,,,1.767,2.074,-0.63,30,2.462,Noun,0,1,0,333.67,867.53,533.87,1034.37,OneHanded,Head,Chin,imrp,5,BackAndForth,851,46,8,388,300,63,455,108,354,89,,A,54,2,0
cake,cake,3.296,1.409,-0.454696835,27,0.00%,2.688,1.078,-0.775671836,16,0.00%,0,,,2,2.025,-0.485,36,3.362,Noun,0,0,0,667.33,1501.5,834.17,2335.67,AsymmetricalDifferentHandshape,Hand,Palm,imrp,5,Straight,677,16,2,178,216,91,455,108,177,89,,D,33,1,0
calendar,calendar,5.296,1.75,0.664204391,27,0.00%,5.471,1.625,0.704618388,17,0.00%,0,,,1.839,2.166,-0.515,31,2.561,Noun,0,0,0,600.6,1835.17,1234.57,2802.8,AsymmetricalSameHandshape,Hand,Palm,imrp,1,Other,816,29,2,78,216,91,455,487,46,192,,D,61,2,0
call,call,4.967,1.732,0.374235691,30,0.00%,5.111,1.779,0.336116605,18,0.00%,0,,,6.481,2.025,1.908,27,4.643,Verb,0,0,0,667.33,1067.73,400.4,1968.64,OneHanded,Head,CheekNose,p,1,Curved,756,22,0,388,300,45,41,487,125,38,,C,61,2,0
call_attention,call_attention,4.5,1.592,0.073116116,30,0.00%,4.444,1.464,-0.065091958,18,0.00%,0,,,1.7,1.921,-0.612,30,NA,Verb,0,0,0,533.87,900.9,367.03,1901.9,AsymmetricalDifferentHandshape,Hand,PalmBack,imrp,1,Curved,832,19,2,178,216,24,455,487,125,192,,C,38,1,0
call_tty,call_tty,3.4,1.756,-0.772976418,25,0.00%,3.5,1.951,-0.680628712,14,0.00%,0,,,1.267,1.948,-0.789,30,NA,Verb,0,0,0,467.13,700.7,233.57,1501.5,AsymmetricalDifferentHandshape,Hand,FingerBack,i,2,Straight,566,26,4,178,216,21,265,76,177,39,,B,26,3,0
camera,camera,4.8,1.528,0.102895102,25,0.00%,4.929,1.542,0.146407873,14,0.00%,0,,,6.7,1.948,2.04,30,3.464,Noun,0,0,0,433.77,834.17,400.4,1735.07,AsymmetricalDifferentHandshape,Neutral,Other,i,1,None,852,13,5,178,349,345,265,487,180,134,,B,73,3,0
